STT,Tên
218,16753 bach hong thanh nu gioi tinh khong xac dinh
219,12639 bach phu thuy vo tinh maverick
220,20 baka to test to shoukanjuu
221,3718 ballad of ten thousand gu
222,12607 ban an dung gia ho so toi pham trung phat dung gia doan 9004
223,11863 ban cung lop khong biet chung ta lam tinh trong phong cua cau
224,9957 em gai anh quoc muon noi suki thay vi love you
225,13034 ban gai toi doa se chia tay voi toi
226,15087 mot co ban gai nhung se chang sao ca neu ban noi cho co ay biet rang minh yeu co nhieu nhu the nao co se giat minh va de thuong len ngay
227,4166 ban gai toi la giao vien
228,5325 boku no kanojo sensei
229,15744 ban sao biet yeu
230,18091 ban than nhat cua em gai gio la co ban nu cua toi roi cai gi nua day
231,8932 ban thuo nho chac chan se khong thua trong mot cau chuyen tinh hai huoc lang man
232,9531 his childhood friend is a beautiful reclusive girl so he spends his after school hours in her room but hes not her boyfriend
233,16873 ban thuo nho tro thanh than tuong noi tieng nhung co gai de thuong dang ho tro toi
234,2711 bandit be ambitious to accomplish kingdom revival
235,1015 bandit be ambitious to accomplish kingdom revival
236,8218 bao chua than men
237,18255 barbarian quest
238,17380 baron musou a case where a young man who hated nobility was reincarnated as a rural aristocrat
239,17409 bat dau song cung voi thang ban con trai hoi xua hoa ra no lai la dua con gai xinh dep
240,6208 bat nat con gai ke thu co sai khong
241,13016 bat nat em di tieu thu phan dien oi
242,16552 bat nat to di ma tieu thu phan dien oi
243,5798 bau troi sup do
244,14853 bay ngay cua toi cung than chet
245,10625 bay ngay day rac roi voi co vo kuudere tuong lai cua toi
246,13094 bay thanh kiem thong tri
247,10672 be elf les va nang cong chua bi nguyen rua
248,8607 be ha tieng noi con tim cua ngai lo het roi kia
249,9167 be la mot youtuber ao nhung vi lo quen tat stream nen be thanh huyen thoai luon
250,8852 beatless
251,4614 because i reincarnated as a succubus ill squeeze out milk
252,2259 because i reincarnated as a succubus ill squeeze out milk
253,4441 because im a weapon shop uncle
254,1309 because my toilet turned into a dungeon taking care of my business has become too difficult
255,17338 becoming professor moriartys probability
256,14909 becoming sleeping friends with the schools sleeping princess
257,6821 becoming the final boss is really not my real intention
258,3576 behemoths pet
259,8816 being able to edit skills in another world i gained op waifus
260,10655 together always
261,10981 berserk of gluttony
262,2188 berserk of gluttony
263,15569 bi bo roi boi ban thuo nho toi tro thanh mot anh hung chien tranh
264,18368 bi ban thuo nho tu choi toi di den cuoc gap offline voi mot nguoi ban de giai khuay va phat hien ra rang nguoi ay la mot hoa khoi toc bac xinh dep cua lop nguoi thuong tram tinh nhung rat de thuong
265,13117 bi em ke ban thuo nho va idol truong ghet bo nhung tin don ho noi ve toi cu tang len khong ngot
266,15026 those who ghost my streams will also ghost in real life theres an update that can escape from a yandere whose love is heavy
267,16989 bi giet boi ban cung lop toi tro thanh su gia cua than
268,13126 bi kich cua nhan vat phan dien
269,16041 bi kich cua nhung ke phan dien
270,15939 bijin dakara uwaki shite mo yurusareru to omotteru oujisama kei no kanojo ni ikinari wakareyou to ittara dou naru ka kenshou shite mita
271,18770 billionaire program chuong trinh ty phu
272,6504 bishoujo ni natta kedo netoge haijin yattemasu
273,7401 bishoujo ni natta kedo netoge haijin yattemasu
274,8239 bishoujo to kyori wo oku houhou
275,12002 bishoujo wo jouzu ni nikubenki ni suru houhou
276,18228 black bullet
277,235 black bullet
278,16979 blade bastard
279,15293 blade skill online with trash job summoner weakest weapon bow and rotten stat luck i rise to be the last boss
280,6918 blazblue phase shift 1
281,9445 bleach cant fear your own world
282,9046 we do knot always love you
283,8415 bleach cant fear your own world
284,11482 bloom into you regarding saeki sayaka
285,7085 bo romcom ma ban than thuo nho khong the nao thua
286,13450 bo toi la mot ke sat nhan hang loat
287,2958 bocchi tenseiki
288,11376 boi duong vai tro nam chinh
289,14248 boku ga kimi no namae wo yobu kara
290,10281 boi vi thoi gian co han co ay tro thanh con dau cua ke phan dien
291,152 boku no bungeibu ni bitch ga iru nante arienai
292,6717 boku no bungeibu ni bitch ga irunante arienai
293,9892 boku no heya ga dungeon no kyuukeijo ni natteshimatta
294,2874 boku no imouto wa kanji ga yomeru
295,12614 boku no kanojo sensei
296,4333 boku no meikko wa yandere deshita
297,9476 boku no sensei wa houkago kawaii konyakusha
298,7724 boku no shiranai love come
299,3598 boku to kanojo no game sensou
300,16250 boku wa chiisama maou sama
301,6995 boku wa heroine wo kouryaku dekinai
302,260 boku wa isekai de fuyo mahou to shoukan mahou wo tenbin ni kakeru
303,330 boku wa isekai de fuyo mahou to shoukan mahou wo tenbin ni kakeru
304,1228 boku wa isekai de fuyo mahou to shoukan mahou wo tenbin ni kakeru
305,24 boku wa tomodachi ga sukunai
306,14993 boku wa yappari kidzukanai
307,9985 bokura wa dokonimo hirakanai
308,10506 bokutachi no remake
309,7321 bokutachi no remake
310,9387 bon toi hien tai khong co hen ho
311,15272 bond and book
312,8276 boogiepop series
313,886 botsuraku youtei nanode kajishokunin wo mezasu
314,1937 botsuraku youtei nanode kajishokunin wo mezasu
315,6989 boukensha license o hakudatsu sareta ossan dakedo manamusume ga dekita no de nonbiri jinsei o oka suru
316,2573 boukensha ni naritai to miyako ni deteitta musume ga s rank ni natteta
317,3983 boukensha ni naritai to miyako ni deteitta musume ga s rank ni natteta
318,7921 boushoku no berserk ore dake level to iu gainen wo toppa suru
319,18188 break world online con vampire dang ghet va bi to cao tro thanh mot streamer noi tieng
320,12612 the gioi do nat online con vampire dang ghet va bi to cao tro thanh mot streamer noi tieng
321,14938 break world online the abhorred and denounced vampire becomes a famous live streamer
322,18647 breakers
323,1240 breakers
324,18103 breaking death flags with power reincarnated as the villain in an eoge dominating with debuffs
325,7015 breakthrough with the forbidden master
326,13002 brunhild the dragon slayer
327,1622 bu ni mi wo sasagete hyaku to yonen elf de yari naosu musha shugyou
328,1145 bu ni mi wo sasagete hyaku to yonen elf de yarinaosu musha shugyou
329,1163 bu ni mi wo sasagete hyaku to yonen elf de yarinaosu musha shugyou
330,16915 buc thu tinh den tu tuong lai
331,15524 buc thu tinh den tu tuong lai
332,5568 buc thu tu norman
333,18838 buff tu dong cua toi giup dong doi manh nhat
334,14 bungaku shoujo
335,2234 buta koushaku ni tensei shita kara kondo wa kimi ni suki to iitai
336,4033 buta koushaku ni tensei shitakara kondo wa kimi ni suki to iitai
337,16480 buta no liver wa kanetsu shiro
338,13506 buta no liver wa kanetsu shiro
339,12795 buta no liver wa kanetsu shiro
340,81 byousoku 5 centimeter
341,3580 cubexcursedxcurious
342,11211 no one believed me if you say you believe me now its too late
343,11130 cach lam tan chay trai tim cua nu hoang bang gia
344,19042 cach de song nhu mot nhan vat phan dien phu trong hoc vien
345,16746 cach di tren con duong hoa cua nhan vat chinh
346,9828 cach tu choi uu giam sat tu nha vua
347,7185 cai chet la ket cuc duy nhat danh cho ke phan dien
348,9817 cai gia cua su chia ly
349,8032 otome game sekai wa mobu ni kibishii sekaidesu marie route
350,8694 motokano ga tenkou shitekite kimazui kogure richi no wana to koi
351,7231 su cam do cua than chet
352,7359 cam do cua thanatos
353,4476 campione
354,138 campione
355,18697 can 1dk tren cat
356,8900 cap bach hop no ro tren mai truong lang thinh
357,6238 cap s ma toi duong thanh
358,9714 cap s ma toi nuoi duong
359,13571 cap uyen uong khong tu thuc
360,10581 cau am nha ba tuoc la mot warlock
361,17143 cau be duoc ma vuong va long vuong huan luyen tro nen vo doi trong cuoc song hoc duong wn
362,15119 the master swordmans story starts with the zero ability to attack
363,10245 cau chuyen giua asahina wakaba va ban trai
364,11127 asahina wakaba to marumaru na kareshi
365,18009 cau chuyen ma anh danh tang cho em
366,3079 cau truyen nay co mot manh tuong thuat oneshot
367,15269 cau chuyen tinh nay co nghia vu phai hanh phuc
368,8870 cau chuyen tinh hai huoc xoay quanh hon nhan
369,16401 cau chuyen ve chang trai duoc hoc sinh chuyen truong yandere tu xung la vo tuong lai va bat cau phai chiu trach nhiem
370,14805 cau chuyen ve co gai phan boi nguoi qui gia cua minh de roi phai song trong nhung ngay thang chuoc toi hoi han va tuyet vong
371,15242 day la cau chuyen ve thu nghiem gan cho mot co gai so thich dam duc bangung dung sua doi so thichse ra sao
372,18631 cau chuyen ve hai nguoi ban tho au da dinh hon co gang de yeu
373,9241 cau chuyen ve mot nguoi em gai bi mat hon anh trai cua minh hang dem
374,9258 cau chuyen ve mot ong chu no le trong cong ty tro thanh mot xa thu thich di pk trong tua game vr nhap vai
375,18299 cau chuyen ve qua trinh gianh lay quyen ru va lap day khoang trong ben trong co ban thuo nho xinh dep nhi lop trong chuyen ngoai khoa ba ngay hai dem
376,15690 cau chuyen ve viec mang nang gal co don cung lop ve nha va bien co thanh mot my nu trong sang
377,18240 cau chuyen ve viec mang nang gyaru co don cung lop ve nha va bien co thanh mot my nu trong sang
378,17774 cau chuyen ve viec toi thua tran ca cuoc truoc nguoi ban thuo nho va bi nho lay mat lan dau
379,16534 cau chuyen ve viec toi thua tran ca cuoc truoc nguoi ban thoi tho au va bi lay di lan dau tu co ay
380,4147 kawaii onna no ko ni kouryakusareru no wa suki desu ka
381,18873 cau khong duoc yeu ai khac ngoai to dau
382,17633 cau lac bo truyen ma
383,8575 cau lac bo tro choi xa hoi do te cua chung ta se tao nen tro choi than thanh
384,16896 cau se ung ho to vi lo thich cau chu
385,19130 chainsaw man buddy stories
386,14861 chang anh hung va nang ma nu dam lay
387,12397 chang biet vi sao nu than hoc duong lai thich ghe choi nha toi
388,9455 ore no ie ni nazeka gakuen no megami sama ga iribitatte iru ken
389,15533 chang hiep si yeu nhat va co nang phap su stalker bien thai
390,7493 chang hieu sao nu than cua truong lai thich o nha toi co
391,16842 jigoku e yokoso
392,13408 chao toi la phu thuy va crush muon toi che tao tinh duoc
393,2818 charging magic with a smile
394,986 charging magic with a smile
395,7569 charging magic with a smile infinite magic power after being reincarnated into a different world
396,2922 charging the hero cao buoc anh hung
397,8712 em thich chi chu khong phai con gai chi a
398,18430 chay tron khoi anh hung
399,3096 cheat aru kedo mattari kurashitai tensei jinsei o tanoshimou
400,5077 cheat kusushi no slow life isekai ni tsukurou drug store
401,4364 cheat na kaineko no okage de rakuraku level up
402,2976 cheat na kaineko no okage de rakuraku level up
403,495 cheat na kaineko no okage de rakuraku level up
404,7615 cheat skill shisha sosei ga kakusei shite inishieno maougun wo fukkatsu sasete shimaimashita dare mo shinasenai saikyou hiira
405,7733 chi can the thoi la du
406,14417 chi gai cua ban gai la tinh dau da doi thay
407,14170 chi khi mat di ta moi nhan ra
408,8876 only i know that my sister has a brother complex
409,10184 chi rieng hai ta trong the gioi rong lon nay
410,18087 chi vi co mat xech khong co nghia toi la phan dien
411,4711 by a slight mistake
412,14801 chia tay voi dua ban gai cam sung minh ai ngo ban gai moi ma toi dang hen ho lai la chi cua ban gai cu
413,10446 chiec nhan so phan
414,13277 chien binh se duoc phai di
415,16120 chien ky wortenia
416,14988 jakushou ryouchi no seizon senryaku
417,10392 hitoribocchi no isekai kouryaku
418,12651 chien tuyen chan troi su kien aditya
419,13202 chieu chuong be ma bi nguoc dai chung toi tro nen than thiet
420,5601 seoul stations necromancer
421,14762 chikasugiru karera no juunanasai no tooi kankei
422,11989 chikasugiru karera no juunanasai no tooi kankei
423,18973 childhood friend of the zenith
424,11317 chim thien ac
425,6640 tonari no onna no okage de itsunomanika daigaku seikatsu ga tanoshiku natte ita
426,13503 chinh phuc ham nguc huong den tang sau nhat
427,8164 chitose kun wa ramune bin no naka
428,1582 cach su dung phep thuat hoi mau trai phep
429,4294 chiyu mahou no machigatta tsukaikata senjou wo kakeru kaifuku youin
430,3032 cach su dung sai phep thuat hoi mau
431,4032 konyaku haki o iiwatasa remashitaga watashi wa anata no fiansede wa arimasen
432,18454 kimi o natsuki to yobu made no monogatari
433,12948 cho thang ban vay 500 yen nhung han gui em gai lam tai san the chap the rot cuoc toi phai lam sao
434,16808 cho toi an cau nhe cau giet toi duoc ma
435,18533 choi lai vai phu hang ex tu mot ngoi truong danh tieng
436,10880 choi lai vai phu hang ex tu mot truong trung hoc danh tieng
437,6421 choppiri toshiue demo kanojo ni shite kuremasu ka suki ni natta jk wa 27 deshita
438,795 chou isekai gakkyuu
439,15928 choujin koukousei tachi wa isekai demo yoyuu de ikinuku you desu
440,9363 choujin koukousei tachi wa isekai demo yoyuu de ikinuku you desu
441,14009 choujin sentai jetman
442,10387 chounin a wa akuyaku reijou wo doushitemo sukuitai
443,8824 chronicle legion the road of conquest
444,5028 chronicle legion the road of conquest
445,13755 chu du mot minh voi em gai cung tuoi
446,4730 shousetsu toukou saito de rankingu ichii toranai to derarenai heya
447,12013 chua quy hoi quy lam nguoi tot
448,13986 chua quy trung sinh tro nen tot bung
449,11649 chuc mung nam moi hen ho voi to nhe
450,18175 chung mot mai nha toi la nguoi duy nhat biet bi mat ve co ban chu tich hoi hoc sinh
451,10154 chung ta co the tro thanh gia dinh khong
452,14802 chung ta truoc tran dau
453,14983 chuoi ngay thang tuyet dieu cua vi cong chua giay vo chinh me minh
454,7026 chuuko no mimori san to tsukiatte mitara yakeni ore ni kamatte kuru
455,2100 chuuko demo koi ga shitai
456,319 chuuko demo koi ga shitai
457,406 chuuko demo koi ga shitai
458,110 chuunibyou demo koi ga shitai
459,18803 fairy tale of the tentacle forest
460,11322 chuyen du ngoan cung gai dep
461,6624 chuyen ve de quoc tearmoon
462,18063 chuyen ke cua vo tan hoi quy gia
463,10271 chuyen ke hai anh em mot anh hung va mot tho moc
464,11090 suki na ko ni furareta ga kouhai joshi kara senpai watashi ja dame desuka to iwareta ken
465,14534 chuyen sinh thanh anh hung trong con game ntr
466,9525 chuyen sinh thanh binh si nguoi dan ong duoc tung xung la xich tu than
467,18496 chuyen sinh thanh cay canh va doi theo chuyen tinh bach hop cua co em gai
468,9675 chuyen sinh thanh cha cua nu phan dien toi quyet dinh se yeu thuong vo con
469,17219 chuyen sinh thanh co gai qua de thuong nen toi nham toi muc tieu tro thanh nguoi duoc yeu men
470,13788 chuyen sinh thanh cong tuoc heo map lan nay toi se noi voi em ay cam xuc cua minh
471,13962 after reincarnating as a villain faced b class adventurer in the game i picked up the protagonist and his childhood friend
472,18886 chuyen sinh thanh phan dien trong mot cau chuyen lang man nhung toi quyet dinh danh het thanh xuan cua minh voi co gai ma toi yeu
473,14064 i was reincarnated in a yandere main love comedy game and suddenly a dangerous girl became my younger sister
474,18315 chuyen sinh vao game romcom yandere co nang nguy hiem bong nhien tro thanh em gai toi
475,12248 chuyen sinh vao game yuri toi bi kep giua dam gai yuri
476,17926 even though its a yuri game world i as a man will make the heroine sisters happy
477,15985 chuyen sinh vao the gioi mat can bang gioi tinh
478,18524 chuyen sinh vao tro choi suu tam the cua phai nu
479,14486 chuyen sinh voi cheat ngon ngu hoc co be vtuber cuu ca the gioi
480,7943 chuyen tau dem
481,15276 chuyen tau dem
482,19019 saikyo kenja fufu no ko dzukuri jijo en to kori ga awasattara sekai o sukuemasu ka
483,10775 chuyen tinh lang man va hai huoc cua anh hung va phu thuy chuyen sinh
484,12487 chuyen truong ngoi canh nguoi yeu cu
485,14779 chuyen ve otaku kun tot bung voi nho gyaru
486,14115 cinderella wa sagasanai
487,17140 civil servant in romance fantasy
488,13487 clan dinh cao duoi truong dien gia khet tieng nhat
489,4834 class ga isekai shoukan sareta naka ore dake nokotta n desu ga
490,1207 my entire class was summoned to another world except for me
491,356 kurasu marugoto jingai tensei saijyaku no sukeruton ni natta ore
492,9538 classmate ga tsukaima ni narimashite
493,103 clockwork planet
494,5813 clockwork planet
495,15895 aisare tenshi na kurasumeito ga ore ni dake itazura ni hohoemu
496,16297 co ban gai thanh mai truc ma de thuong tram tinh cua toi dang sanh vai ben ga khac tren con pho khach san tinh yeu
497,16511 co ban than nhat cua crush dang bi mat tiep can toi
498,16797 co ban thuo nho cua toi hinh nhu la nu chinh
499,13500 co ban thuo nho cua toi noi voi toi rang toi muon co ban trai
500,13314 co ban thuo nho da lau khong noi chuyen voi toi gio lai tiep can toi
501,6181 tai sinh thanh co be se khong chiu khuat phuc
502,17896 co buon cuoi khong khi sat long nhan that bai va tro thanh cong chua rong
503,18875 co con gai be bong dang co thay doi phap luat de ket hon voi cha minh nhung co khong biet rang minh chi la con rieng
504,14197 co dau den tu tuong lai himegi san nai ni toi to tinh them lan nua
505,10521 co em gai cosplay va ten que mua thich thu quan ao
506,10241 my stepsister who says go die go die to me every day tries to hypnotize me to fall for her while i was sleeping
507,18927 co gai chuyen truong xinh dep tu nhan minh la vo tuong lai cua toi xuat hien truoc mat toi mot ke co docva co ay con la mot sieu cap yandere yeu toi den chet
508,12742 co gai da tung phan boi toi la nu than cua truong
509,18195 the genius naturally angel sama marin shiozaki also known as the three heavens beauty submits a marriage registration without my permission and before i knew it ive become the angels husband
510,10358 ore no unmei no akai ito ni tsunagatteta no wa tenteki no you na onna datta ken
511,18126 co gai ket noi voi soi to hong thuc chat la thien dich cua doi toi
512,17947 co gai nguoi anh xinh dep duoc menh danh la bong hoa co doc muon duoc nuong chieu sau khi tro thanh em ke cua toi
513,8827 chikan saresou ni natteiru s kyuu bishoujo wo tasuketara tonari no seki no osananajimi datta
514,7060 she professed her self the pupil of the wiseman
515,9910 co gai va meo me
516,18150 co hau boi lau linh vo cung de thuong khi bam dinh lay toi
